Timestamp,UserID,Event Name,UUID,Param/redBulletsFired,Param/timesPlayerHasSwitched,Param/playerDeathAmount,Param/timesPlayerHasDied,Param/playerFinalTime,Param/ObjectSpeed,Param/ObjectID,Param/LastLevelName
6/11/2023 15:58:36,NULL,FiredRedBullet,8971399650e32649287ac26fa8fac129,1,,,,,,,
6/11/2023 15:58:38,NULL,FiredRedBullet,97d4f2ecc22f1711cf2bf3e4c5f4cfa0,2,,,,,,,
6/11/2023 15:58:39,NULL,FiredRedBullet,96a12b407cc9c71f93548540bea87f4f,3,,,,,,,
6/11/2023 15:58:39,NULL,FiredRedBullet,96a12b407cc9c71f93548540bea87f4f,4,,,,,,,
6/11/2023 15:58:40,NULL,FiredRedBullet,dacfc59aec2a4d3a3f156a01d7198b5c,5,,,,,,,
6/11/2023 17:40:36,NULL,TimesSwitched,d05f01c8bfd20b8f5ad9d3de2c97dbab,2,,,,,,,
6/11/2023 17:40:39,NULL,TimesSwitched,a54ea845f264ae59c911a28432c430c9,3,,,,,,,
6/11/2023 17:40:41,NULL,TimesSwitched,e70ede1053ab1c0e4df016e1a387b71c,4,,,,,,,
6/11/2023 17:40:42,NULL,TimesSwitched,0bad7c3be965c76b70269793558dcf7c,5,,,,,,,
6/11/2023 17:41:30,NULL,TimesSwitched,135e91a46ddfe5a40d69c447530b795c,,2,,,,,,
6/11/2023 17:41:31,NULL,TimesSwitched,82584dff79d48ddd4961caae2a1f2c58,,3,,,,,,
6/11/2023 17:41:32,NULL,TimesSwitched,81cbf71859407efa6643a2bbb116e47b,,4,,,,,,
6/11/2023 17:51:16,NULL,TimesSwitched,9c75f73a537565792a70c15971601562,,1,,,,,,
6/11/2023 17:51:20,NULL,TimesSwitched,09d7087420a3c4e4c16daeadea158092,,2,,,,,,
6/11/2023 17:51:21,NULL,TimesSwitched,d9e51588dd6361caa5d6b7b101b6fe86,,3,,,,,,
6/11/2023 17:51:25,NULL,TimesSwitched,31316d1bbaa5209d94c8867c2daab423,,1,,,,,,
6/11/2023 17:51:28,NULL,TimesSwitched,14a2f316a0f7555c692b9ff62783b09b,,2,,,,,,
6/11/2023 17:51:30,NULL,TimesSwitched,62f7e13b0283bf36d8ab19a631cfc823,,3,,,,,,
6/11/2023 17:51:31,NULL,TimesSwitched,762dadce5c4e3fc3e1343de7e2791c89,,4,,,,,,
